"cont","accX","accY","accZ","gyroX","gyroY","gyroZ","millis","id"
6633,11154,11634,-4594,3673,4288,-3221,806110,"2"
6634,11510,11920,-4508,3565,5333,-3320,806120,"2"
6635,11722,12090,-4258,3405,6321,-3219,806130,"2"
6636,5430,8812,6542,-3414,4091,-5477,798615,"1"
6637,5752,8890,6396,-3464,4914,-5694,798625,"1"
6638,6140,8832,6380,-3477,5682,-5721,798635,"1"
6639,6646,8930,6050,-3436,6354,-5707,798645,"1"
6640,7100,9052,5856,-3407,6772,-5732,798655,"1"
6636,11772,12328,-4100,3288,7249,-3113,806140,"2"
6637,11550,12552,-3920,3220,8021,-2886,806150,"2"
6638,11140,12748,-3556,2959,8784,-2595,806160,"2"
6639,10754,12938,-3176,2500,9634,-2268,806170,"2"
6640,10494,12816,-2748,1952,10396,-1948,806180,"2"
6641,10478,12884,-2472,1378,11024,-1633,806190,"2"
6642,10478,12718,-2126,984,11409,-1463,806200,"2"
6643,10526,12606,-1874,895,11547,-1413,806210,"2"
6644,10674,12576,-1564,1113,11447,-1466,806220,"2"
6645,10898,12496,-1496,1533,11270,-1551,806230,"2"
6641,7452,9230,5686,-3371,7202,-5868,798665,"1"
6642,7930,9344,5514,-3203,7405,-6381,798675,"1"
6643,8254,9580,5288,-3096,7325,-7064,798685,"1"
6644,8244,9516,5192,-3119,7149,-7416,798695,"1"
6645,8250,9772,5300,-3109,7192,-7693,798705,"1"
6646,11190,12348,-1522,2045,10767,-1602,806240,"2"
6647,11462,12370,-1426,2630,10232,-1522,806250,"2"
6648,11704,12316,-1562,3266,9688,-1466,806260,"2"
6649,11748,12338,-1570,3951,9083,-1373,806270,"2"
6650,11856,12436,-1624,4630,8623,-1273,806280,"2"
6646,8134,9856,5182,-3145,7430,-8034,798715,"1"
6647,7980,9760,5112,-3027,7634,-8233,798725,"1"
6648,8048,9790,4874,-2912,7903,-8414,798735,"1"
6649,8180,9654,4526,-2832,8160,-8447,798745,"1"
6650,8274,9550,4104,-2751,8390,-8434,798755,"1"
6651,8428,9378,3728,-2726,8485,-8291,798765,"1"
6652,8650,9080,3414,-2740,8490,-8075,798775,"1"
6653,8734,8850,3048,-2787,8321,-7842,798785,"1"
6654,8818,8684,2632,-2883,8097,-7676,798795,"1"
6655,8856,8706,2470,-2974,7854,-7689,798805,"1"
6651,12012,12512,-1604,5230,8235,-1254,806290,"2"
6652,12080,12306,-1544,5912,7781,-1338,806300,"2"
6653,12194,12204,-1572,6632,7438,-1473,806310,"2"
6654,12156,12184,-1548,7175,7183,-1603,806320,"2"
6655,12058,12122,-1644,7482,6991,-1795,806330,"2"
6656,8862,8590,2256,-3004,7536,-7905,798815,"1"
6657,8802,8522,1992,-3125,7225,-8022,798825,"1"
6658,8860,8368,1760,-3259,7044,-8019,798835,"1"
6659,8774,8234,1568,-3281,6880,-7914,798845,"1"
6660,8616,8034,1430,-3279,6706,-7706,798855,"1"
6656,11920,11836,-1610,7749,6845,-2096,806340,"2"
6657,11750,11816,-1716,7867,6901,-2309,806350,"2"
6658,11662,12062,-1770,7863,6975,-2647,806360,"2"
6659,11594,12228,-1684,7703,7150,-2914,806370,"2"
6660,11614,12478,-1514,7468,7345,-3089,806380,"2"
6661,8610,7768,1220,-3194,6642,-7367,798865,"1"
6662,8556,7470,1052,-3041,6671,-6932,798875,"1"
6663,8424,7274,846,-2771,6675,-6356,798885,"1"
6664,8432,7178,704,-2529,6682,-5795,798895,"1"
6665,8394,7098,504,-2241,6681,-5203,798905,"1"
6661,11570,12764,-1454,7190,7534,-3121,806390,"2"
6662,11552,13022,-1234,6743,7770,-3089,806400,"2"
6663,11498,13196,-1002,6167,7961,-2920,806410,"2"
6664,11388,13400,-652,5427,8237,-2741,806420,"2"
6665,11420,13386,-376,4526,8437,-2323,806430,"2"
6666,8308,6984,260,-1883,6683,-4644,798915,"1"
6667,8318,6846,68,-1420,6665,-4244,798925,"1"
6668,8288,6742,-246,-1057,6618,-3883,798935,"1"
